"Story","Title","Result","Date","Stability","Duration (s)"
"Login feature","Successfully login","SUCCESS","2022-06-28T14:22:43.214828216Z[Etc/UTC]","0.0","13.03"
"Search by keyword","Searching for a term","SUCCESS","2022-06-28T14:22:56.507988181Z[Etc/UTC]","0.0","1.64"
