"Story","Title","Result","Date","Stability","Duration (s)"
"Login feature","Successfully login","SUCCESS","2022-06-28T14:21:39.776627711Z[Etc/UTC]","0.0","21.46"
"Search by keyword","Searching for a term","SUCCESS","2022-06-28T14:22:01.486242478Z[Etc/UTC]","0.0","1.7"
